Turkmenistan,20.0,16445,below,above
Uganda,84.6,2003,above,below
Ukraine,48.8,7971,below,below
United Arab Emirates,80.9,67617,above,above
United Kingdom,72.8,41159,above,above
United States,91.0,55805,above,above
Uruguay,62.9,21507,above,above
Uzbekistan,50.4,6068,below,below
Vanuatu,58.1,2550,below,below
Venezuela,28.5,16673,below,above
Vietnam,62.2,6024,above,below
Yemen,54.2,2671,below,below
Zambia,48.2,3868,below,below
Zimbabwe,33.1,2096,below,below
Brunei Darussalam,90.4,79587,above,above
