"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.32522359604016","4.09642457181","3.85536769182839","-0.965374832527218","2.48493638431459","-2.397800778012","-4.3087653989944","-1.75669628122601","5.28075326599189","-0.592892312554611","-0.913111282539887","1.5440340474143","-4.02394795366511","-6.99524019925946","-5.7223436973706","","","","","","","",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52824472159421","-3.21237869377818","7.07408779676268","2.26949026879875","10.6901618053666","1.06803577565032","18.0023930342451","5.50583822732263","2.99405151979005","10.9022578837831","-1.21669484932227","-1.71461102327001","-1.9465865993342","",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0561184714828897","5.15142073167496","3.00436940929596","-2.16161680929058","-3.04946928767444","-4.16518682929072","-9.86058567618197","-27.1459861825389","0.212993990591315","7.06342732660205","8.03461163771459","4.95226608681666","3.90015220934099","0.310782322138238","-0.111777370282965","0.84475118654521","-10.0997220923239","1.57959486370716","7.00672574268771","14.18509109718","16.6424042600383","18.4875985229048","10.040818463621","-0.970191715423582","-0.00281210036590096","0.497589121173661","1.7098312466764","3.33985093505302","1.43324784112657","-0.263500660558336","",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864852156907","0.795840072209046","-1.01680216831883","-3.30749720220652","-0.290595349627594","3.61465556081772","-2.74949637339373","-3.26252235655046","6.923617305269","-11.187905316132","-29.1632714741499","-6.63551868515516","10.270786093314","8.96687740665563","14.0020242137427","9.78018044635252","-10.2784613621705","9.69704598710884","14.2223169170652","7.34863864587227","8.95808771235576","4.54440572919097","6.16998247903757","6.15227447172325","6.26327559322289","6.09829160417965","6.70333783474926","8.35829775136199","4.04882151957054","4.22616090713089","2.84093926763708","1.57851644863899","1.23548639893185","1.90547093552725","2.95965280011498","",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.595290708320789","2.79292888475287","2.67604619111876","1.02744639348001","-3.36082010640422","-0.190488494944191","-0.262053463143431","-1.47451393162169","-3.04137427534299","-1.31698176674945","-3.96451998046258","-2.92123172745744","-2.58839832578278","-2.60570748237676","-2.02178451001112","-1.00422677959517","1.31504370305373","0.982745913351408","0.793764684982577","-0.14437457231638","-1.36773189559845","-2.89178734193402","-4.43680694689547","-0.398973021937849","0.911681359662424","3.93841295761959","9.31251209491744","3.61313882295995","3.65614744924297","-0.749276521092995","2.35593012027957","1.51940003710629","6.42594442346768","3.16659738532879","4.00796487579618","1.88829336025076","-1.69647756716856","-9.38216293055525","-3.65819654436524","-4.16509318500468","-2.38244326178668","1.9681450118851","4.43153406735115","","","",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","9.44078546064959","5.20003327848553","-1.38413909387612","7.02462538415931","6.59158454731241","0.757320313219793","-6.05545069502692","-5.68693895069224","-1.27852960270778","-3.40508954393096","-2.38053501936416","-2.1923658738687","0.941694532719055","-0.351820472563219","6.87030191692359","-3.81692768778451","3.17175786776951","1.30016188301379","0.81074286483522","-0.203392271135613","2.48931907231096","2.58321124686343","3.08347487713444","0.919255403937981","2.95811321480957","0.0832270528504466","-0.607126735219737","2.03861686728801","7.33673632842778","3.77148542205312","4.81432421668184","3.12139489626304","3.73527595361678","-0.890709479468569","2.29208193991524","1.10857692102937","3.20664340568626","1.32389075154737","0.68124782899099","1.12864740642313","",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","-0.479799225711957","4.505168806724","-14.024205101691","7.8950880370476","12.9727508683206","-2.64795465132381","-11.9828346004014","-9.41742531593832","-1.02474427709109","-8.60274387462945","-19.7207372405091","-2.63741708969107","-8.3458478668838","5.89379821355416","11.8388367663076","-4.50305389466986","-2.07174636695817","-3.91873810053805","1.62278969064292","1.60764278782449","0.759388527874776","2.8753861731978","-4.79089698068277","-2.464407795406","4.8218432905399","-3.88652463116711","-2.8841459754286","1.84670066160442","-0.0826805084735298","-6.98337644829741","-4.8029480028766","-11.2173185786934","-10.1187692702685","-15.1458272499335","-5.97892481474418","0.32642324064031","4.1943016378745","3.7159439584282","2.55619978856446","2.95513537315793","",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.74726308342959","-2.41044441998048","-6.7716471945992","8.46443710520775","8.93464891789213","-2.08931237609511","1.73649463837482","3.33960042711321","8.07787264285665","1.467832178603","3.95235082993281","-0.0795741993922121","1.0565720009288","3.75964587045097","-1.64866135450971","-3.536162359635","5.33715547572888","-5.90355599865042","8.6031839558708","2.59033575213736","-7.13500091180066","-6.43432888093812","2.25024183474733","0.619313153867054","-9.009498027102","6.23805745408789","1.36853140946852","-3.9943687526755","-8.83813246865182","-3.78912457897933","11.0941496868505","10.4066756976652","4.49187508172196","4.46661900061289","-4.05761441811188","4.26087959747264","6.86115827310729","2.68216450758911","-4.45704171369476","-1.88505064620874","-5.46517694890134","-11.8772891320015","7.64373183187639","7.84914805929992","7.69290828285942","6.91841366984715","7.88633660722604","2.99568948905457","-6.87962011286672","8.99207259410856","4.90272548106904","-2.06001936619803","1.3386674657612","-3.51453008856639","1.61474284339398","",
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8757355304675","-40.7469353510688","-6.63956693553229","7.95431519690442","9.11449725465521","7.52499313070196","4.49906405608917","8.15117312858061","3.93900142865458","6.51011053614003","10.1316996895235","13.661257854197","14.4475068315628","10.8488961245233","14.2836080260714","13.678974966655","14.2838175015561","7.37028355186693","-13.8917822796505","2.29007820407587","4.54167919904747","6.82729024793407","2.82175031059522","3.11883263465545","2.60550443514805","",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.152442449693098","0.292364590519909","-0.157315154693237","-3.40030066384759","3.2736488542045","-1.12273937167356","-2.86623234199512","1.50763464415031","0.873879180241047","-4.23831193608723","-3.34718405184108","1.18253866041178","0.90273955587125","",
