Turkmenistan,20.0,"$16,445"
Uganda,84.6,"$2,003"
Ukraine,48.8,"$7,971"
United Arab Emirates,80.9,"$67,617"
United Kingdom,72.8,"$41,159"
United States,91.0,"$55,805"
Uruguay,62.9,"$21,507"
Uzbekistan,50.4,"$6,068"
Vanuatu,58.1,"$2,550"
Venezuela,28.5,"$16,673"
Vietnam,62.2,"$6,024"
Yemen,54.2,"$2,671"
Zambia,48.2,"$3,868"
Zimbabwe,33.1,"$2,096"
Brunei Darussalam,90.4,"$79,587"
